name	aliases	previous_class	disposition	reason	consumer_evidence
commands.dump	-	engine_service	remove	Closed LC0 registration snapshot harness superseded by commands.list	Tools/regression/lc0-measure.ps1:233;Tools/regression/lc0-measure.ps1:234;Tools/regression/lc0-measure.ps1:235;Tools/regression/lc0-static-inventory.ps1:8;Tools/regression/lc0-static-inventory.ps1:152
commands.list	-	engine_service	api	retained developer product query or engine service; no synthetic fixture execution	Tools/dx12-validation/Invoke-Dx12Suite.ps1:19;Tools/dx12-validation/Invoke-Dx12Suite.ps1:94;Tools/dx12-validation/Invoke-Dx12Suite.ps1:100;Tools/dx12-validation/Invoke-Dx12Suite.ps1:107;Tools/dx12-validation/Invoke-Dx12Suite.ps1:109;Tools/regression/lc6-live-classification.ps1:117;Tools/regression/verify-cli-consumer-contract.ps1:16;Tools/regression/verify-cli-discovery.ps1:65;Tools/regression/verify-cli-discovery.ps1:101;Tools/regression/verify-cli-discovery.ps1:102;Tools/regression/verify-cli-discovery.ps1:145;Tools/regression/verify-cli-registry-golden.ps1:46
commands.selftest	-	probe	api	Read-only registry integrity report for developers; does not execute domain tests	Tools/regression/verify-cli-discovery.ps1:50;Tools/regression/verify-player-command-service.ps1:198
component.add	-	editor_operation	api	retained developer product query or engine service; no synthetic fixture execution	Tools/featuretest/build-scenes.ps1:63;Tools/featuretest/build-scenes.ps1:66;Tools/featuretest/build-scenes.ps1:173;Tools/featuretest/build-scenes.ps1:181;Tools/regression/ai_registry_probe.txt:13;Tools/regression/bt_smoke.txt:37;Tools/regression/bt_smoke.txt:59;Tools/regression/ddol_canvas_probe.txt:57;Tools/regression/ddol_canvas_probe.txt:62;Tools/regression/light_slot_restore.txt:52;Tools/regression/light_slot_restore.txt:55;Tools/regression/light_slot_restore.txt:57;Tools/regression/light_slot_restore.txt:59;Tools/regression/prefab_duplicate.txt:25;Tools/regression/prefab_identity_injection.txt:33;Tools/regression/prefab_nested_update_probe.txt:88;Tools/regression/prefab_override_write.txt:45;Tools/regression/prefab_roundtrip.txt:30;Tools/regression/reflect_golden.txt:24;Tools/regression/resolution_sweep.txt:34;Tools/regression/resolution_sweep.txt:39;Tools/regression/resolution_sweep.txt:45;Tools/regression/resolution_sweep.txt:46;Tools/regression/ui_layout_golden.txt:41;Tools/regression/ui_layout_golden.txt:46;Tools/regression/ui_layout_golden.txt:49;Tools/regression/ui_layout_golden.txt:52;Tools/regression/ui_layout_golden.txt:55;Tools/regression/ui_layout_golden.txt:58;Tools/regression/ui_layout_golden.txt:61;Tools/regression/ui_layout_golden.txt:64;Tools/regression/ui_layout_golden.txt:67;Tools/regression/ui_layout_golden.txt:70;Tools/regression/ui_layout_golden.txt:105;Tools/regression/ui_layout_golden.txt:108;Tools/regression/ui_layout_golden.txt:111;Tools/regression/ui_layout_golden.txt:128;Tools/regression/ui_layout_golden.txt:129;Tools/regression/ui_regression.txt:38;Tools/regression/ui_regression.txt:40;Tools/regression/ui_regression.txt:48;Tools/regression/ui_regression.txt:59;Tools/regression/verify-cli-editor-operation.ps1:140;Tools/regression/verify-cli-editor-operation.ps1:164;scripts/asan_lifecycle_stress.txt:29;scripts/asan_lifecycle_stress.txt:32;scripts/asan_lifecycle_stress.txt:35;scripts/asan_lifecycle_stress.txt:38;scripts/asan_lifecycle_stress.txt:48;scripts/asan_lifecycle_stress.txt:50;scripts/asan_lifecycle_stress.txt:52;scripts/asan_lifecycle_stress.txt:55;scripts/asan_lifecycle_stress.txt:57;scripts/asan_lifecycle_stress.txt:59;scripts/asan_lifecycle_stress.txt:61;scripts/asan_lifecycle_stress.txt:63;scripts/asan_lifecycle_stress.txt:65;scripts/asan_lifecycle_stress.txt:67;scripts/asan_lifecycle_stress.txt:69;scripts/asan_lifecycle_stress.txt:71;scripts/asan_lifecycle_stress.txt:73;scripts/asan_lifecycle_stress.txt:75;scripts/asan_lifecycle_stress.txt:77;scripts/lifecycle_baseline.txt:59;scripts/lifecycle_baseline.txt:62;scripts/lifecycle_baseline.txt:65;scripts/lifecycle_baseline.txt:68;scripts/lifecycle_baseline.txt:79;scripts/lifecycle_baseline.txt:81;scripts/lifecycle_baseline.txt:83;scripts/lifecycle_baseline.txt:86;scripts/lifecycle_baseline.txt:88;scripts/lifecycle_baseline.txt:90;scripts/lifecycle_baseline.txt:92;scripts/lifecycle_baseline.txt:94;scripts/lifecycle_baseline.txt:96;scripts/lifecycle_baseline.txt:98;scripts/lifecycle_baseline.txt:100;scripts/lifecycle_baseline.txt:102;scripts/lifecycle_baseline.txt:104;scripts/lifecycle_baseline.txt:106;scripts/lifecycle_baseline.txt:108
component.list	-	engine_service	api	retained developer product query or engine service; no synthetic fixture execution	no literal consumer found
component.remove		new	api	Shared undoable optional component removal	Tools/regression/verify-editor-command-surface.ps1
crash.status	-	probe	api	developer diagnostics; old probe class does not imply harness	Tools/regression/verify-cli-exit-spine.ps1:122;Tools/regression/verify-crash-dump.ps1:40
crash.test	-	probe	commandlet	Retained product regression in an isolated process; scenario validation or fixture; closure evidence required before retention	Tools/regression/lc0-static-inventory.ps1:43;Tools/regression/verify-crash-dump.ps1:7;Tools/regression/verify-crash-dump.ps1:40
dump.list	-	probe	api	developer diagnostics; old probe class does not imply harness	no literal consumer found
dump.show	-	probe	api	developer diagnostics; old probe class does not imply harness	no literal consumer found
dx12.bench11	-	probe	remove	Retired completed design/performance comparison; dedicated implementation and assets removed. See CommandletRetirementAudit.md.	retired; rejection covered by verify-editor-command-surface.ps1
dx12.decal	-	probe	commandlet	Retained product regression in an isolated process; scenario validation or fixture; closure evidence required before retention	Tools/dx12-validation/Invoke-Dx12Suite.ps1:115 (dynamic discovery)
dx12.descriptorheap	-	probe	commandlet	Retained product regression in an isolated process; scenario validation or fixture; closure evidence required before retention	Tools/dx12-validation/Invoke-Dx12Suite.ps1:115 (dynamic discovery)
dx12.encoderbench	-	probe	remove	Retired completed design/performance comparison; dedicated implementation and assets removed. See CommandletRetirementAudit.md.	retired; rejection covered by verify-editor-command-surface.ps1
dx12.fog	-	probe	commandlet	Retained product regression in an isolated process; scenario validation or fixture; closure evidence required before retention	Tools/dx12-validation/Invoke-Dx12Suite.ps1:115 (dynamic discovery)
dx12.forward	-	probe	commandlet	Retained product regression in an isolated process; scenario validation or fixture; closure evidence required before retention	Tools/dx12-validation/Invoke-Dx12Suite.ps1:115 (dynamic discovery)
dx12.forwardscale	-	probe	remove	Retired completed design/performance comparison; dedicated implementation and assets removed. See CommandletRetirementAudit.md.	retired; rejection covered by verify-editor-command-surface.ps1
dx12.forwardshade	-	probe	commandlet	Retained product regression in an isolated process; scenario validation or fixture; closure evidence required before retention	Tools/dx12-validation/Invoke-Dx12Suite.ps1:115 (dynamic discovery)
dx12.gbuffer	-	probe	commandlet	Retained product regression in an isolated process; scenario validation or fixture; closure evidence required before retention	Tools/regression/verify-model-render-wiring.ps1:27;Tools/regression/verify-model-render-wiring.ps1:81;Tools/regression/verify-model-render-wiring.ps1:165;Tools/dx12-validation/Invoke-Dx12Suite.ps1:115 (dynamic discovery)
dx12.gizmoicon	-	probe	commandlet	Retained product regression in an isolated process; scenario validation or fixture; closure evidence required before retention	Tools/dx12-validation/Invoke-Dx12Suite.ps1:115 (dynamic discovery)
dx12.gizmoline	-	probe	commandlet	Retained product regression in an isolated process; scenario validation or fixture; closure evidence required before retention	Tools/dx12-validation/Invoke-Dx12Suite.ps1:115 (dynamic discovery)
dx12.gizmoscene	-	probe	commandlet	Retained product regression in an isolated process; scenario validation or fixture; closure evidence required before retention	Tools/dx12-validation/Invoke-Dx12Suite.ps1:14;Tools/dx12-validation/Invoke-Dx12Suite.ps1:115 (dynamic discovery)
dx12.grid	-	probe	commandlet	Retained product regression in an isolated process; scenario validation or fixture; closure evidence required before retention	Tools/dx12-validation/Invoke-Dx12Suite.ps1:115 (dynamic discovery)
dx12.ibl	-	probe	commandlet	Retained product regression in an isolated process; scenario validation or fixture; closure evidence required before retention	Tools/dx12-validation/Invoke-Dx12Suite.ps1:115 (dynamic discovery)
dx12.iblshade	-	probe	commandlet	Retained product regression in an isolated process; scenario validation or fixture; closure evidence required before retention	Tools/dx12-validation/Invoke-Dx12Suite.ps1:115 (dynamic discovery)
dx12.live	-	engine_service	api	retained developer product query or engine service; no synthetic fixture execution	Tools/regression/verify-pipeline-composition.ps1:167;Tools/regression/verify-pipeline-composition.ps1:171;scripts/skinned_pose_visual.txt:7
dx12.parallel	-	probe	commandlet	Retained product regression in an isolated process; scenario validation or fixture; closure evidence required before retention	Tools/dx12-validation/Invoke-Dx12Suite.ps1:115 (dynamic discovery)
dx12.post	-	probe	commandlet	Retained product regression in an isolated process; scenario validation or fixture; closure evidence required before retention	Tools/dx12-validation/Invoke-Dx12Suite.ps1:115 (dynamic discovery)
dx12.postscale	-	probe	remove	Retired completed design/performance comparison; dedicated implementation and assets removed. See CommandletRetirementAudit.md.	retired; rejection covered by verify-editor-command-surface.ps1
dx12.psocache	-	probe	commandlet	Retained product regression in an isolated process; scenario validation or fixture; closure evidence required before retention	Tools/dx12-validation/Invoke-Dx12Suite.ps1:115 (dynamic discovery)
dx12.rendergraph	-	probe	commandlet	Retained product regression in an isolated process; scenario validation or fixture; closure evidence required before retention	Tools/dx12-validation/Invoke-Dx12Suite.ps1:115 (dynamic discovery)
dx12.resize	-	probe	commandlet	Retained product regression in an isolated process; scenario validation or fixture; closure evidence required before retention	Tools/dx12-validation/Invoke-Dx12Suite.ps1:115 (dynamic discovery)
dx12.scene	-	probe	commandlet	Retained product regression in an isolated process; scenario validation or fixture; closure evidence required before retention	Tools/dx12-validation/Invoke-Dx12Suite.ps1:26;Tools/regression/run-all.ps1:505;Tools/regression/verify-experiment-ft-primitives.ps1:30;Tools/regression/verify-model-cutover-budget.ps1:16;Tools/regression/verify-model-cutover-budget.ps1:202;Tools/regression/verify-model-cutover-budget.ps1:216;Tools/regression/verify-model-cutover-budget.ps1:217;Tools/regression/verify-model-scene-consumption.ps1:16;Tools/regression/verify-model-scene-consumption.ps1:18;Tools/regression/verify-model-scene-consumption.ps1:31;Tools/regression/verify-model-scene-consumption.ps1:167;Tools/regression/verify-model-scene-consumption.ps1:186;Tools/regression/verify-model-scene-consumption.ps1:189;Tools/regression/verify-skin-pose-integrity.ps1:13;Tools/regression/verify-skin-pose-visual.ps1:6;Tools/regression/verify-skin-pose-visual.ps1:16;Tools/regression/verify-skin-pose-visual.ps1:114;scripts/skinned_pose_visual.txt:7;scripts/skinned_pose_visual.txt:9;scripts/skinned_pose_visual.txt:98;scripts/skin_pose_integrity.txt:4;scripts/skin_pose_visual.txt:4;scripts/skin_pose_visual.txt:9;scripts/skin_pose_visual.txt:42;Tools/dx12-validation/Invoke-Dx12Suite.ps1:115 (dynamic discovery)
dx12.selftest	-	probe	commandlet	Retained contract regression with explicit caller-owned fixture inputs: material texture path	Tools/dx12-validation/Invoke-DX12Validation.ps1:239;Tools/regression/run-all.ps1:786;Tools/regression/run-all.ps1:789;Tools/regression/verify-shadermeta-authoring-read.ps1:9;Tools/regression/verify-shadermeta-authoring-read.ps1:16;Tools/dx12-validation/Invoke-Dx12Suite.ps1:115 (dynamic discovery)
dx12.shadowquality	-	probe	commandlet	Retained product regression in an isolated process; scenario validation or fixture; closure evidence required before retention	Tools/dx12-validation/Invoke-Dx12Suite.ps1:115 (dynamic discovery)
dx12.skinning	-	probe	commandlet	Retained product regression in an isolated process; scenario validation or fixture; closure evidence required before retention	Tools/regression/verify-model-render-wiring.ps1:28;Tools/regression/verify-model-render-wiring.ps1:81;Tools/regression/verify-model-render-wiring.ps1:165;Tools/dx12-validation/Invoke-Dx12Suite.ps1:115 (dynamic discovery)
dx12.skybox	-	probe	commandlet	Retained product regression in an isolated process; scenario validation or fixture; closure evidence required before retention	Tools/dx12-validation/Invoke-Dx12Suite.ps1:115 (dynamic discovery)
dx12.ssao	-	probe	commandlet	Retained product regression in an isolated process; scenario validation or fixture; closure evidence required before retention	Tools/dx12-validation/Invoke-Dx12Suite.ps1:115 (dynamic discovery)
dx12.ssaoscale	-	probe	remove	Retired completed design/performance comparison; dedicated implementation and assets removed. See CommandletRetirementAudit.md.	retired; rejection covered by verify-editor-command-surface.ps1
dx12.ssgi	-	probe	commandlet	Retained product regression in an isolated process; scenario validation or fixture; closure evidence required before retention	Tools/dx12-validation/Invoke-Dx12Suite.ps1:115 (dynamic discovery)
dx12.ssr	-	probe	commandlet	Retained product regression in an isolated process; scenario validation or fixture; closure evidence required before retention	Tools/dx12-validation/Invoke-Dx12Suite.ps1:115 (dynamic discovery)
dx12.sss	-	probe	commandlet	Retained product regression in an isolated process; scenario validation or fixture; closure evidence required before retention	Tools/dx12-validation/Invoke-Dx12Suite.ps1:115 (dynamic discovery)
dx12.ui	-	probe	commandlet	Retained product regression in an isolated process; scenario validation or fixture; closure evidence required before retention	Tools/dx12-validation/Invoke-Dx12Suite.ps1:115 (dynamic discovery)
dx12.wireframe	-	probe	commandlet	Retained product regression in an isolated process; scenario validation or fixture; closure evidence required before retention	Tools/dx12-validation/Invoke-Dx12Suite.ps1:115 (dynamic discovery)
experiment.animevent	-	probe	commandlet	Retained product regression in an isolated process; scenario validation or fixture; closure evidence required before retention	scripts/skinned_pose_visual.txt:48;scripts/skinned_pose_visual.txt:71
experiment.animlive	-	probe	remove	Replaced by shared product service: animator.status	old entrypoint rejected; consumers migrated
experiment.animmask	-	probe	commandlet	Retained product regression in an isolated process; scenario validation or fixture; closure evidence required before retention	Tools/regression/verify-model-typed-consumers.ps1:70;scripts/skinned_pose_visual.txt:76
experiment.animpose	-	probe	commandlet	Retained product regression in an isolated process; scenario validation or fixture; closure evidence required before retention	Tools/regression/verify-skin-pose-integrity.ps1:9;Tools/regression/verify-skin-pose-visual.ps1:104;scripts/skinned_pose_visual.txt:37;scripts/skin_pose_integrity.txt:9;scripts/skin_pose_integrity.txt:18;scripts/skin_pose_integrity.txt:22;scripts/skin_pose_integrity.txt:26;scripts/skin_pose_visual.txt:6
experiment.animtick	-	probe	commandlet	Retained product regression in an isolated process; scenario validation or fixture; closure evidence required before retention	Tools/regression/verify-model-typed-consumers.ps1:68;Tools/regression/verify-skinned-proxy-refresh.ps1:14;scripts/editor_drop_animation.txt:18;scripts/skinned_pose_visual.txt:68
experiment.boneresolve	-	probe	commandlet	Retained product regression in an isolated process; scenario validation or fixture; closure evidence required before retention	Tools/regression/verify-model-typed-consumers.ps1:69;scripts/skinned_pose_visual.txt:74
experiment.catalog	-	probe	commandlet	Retained product regression in an isolated process; scenario validation or fixture; closure evidence required before retention	Tools/regression/verify-experiment-cooked-catalog.ps1:148;Tools/regression/verify-experiment-cooked-catalog.ps1:151;Tools/regression/verify-experiment-cooked-catalog.ps1:153
experiment.cooked	-	probe	commandlet	Retained product regression in an isolated process; scenario validation or fixture; closure evidence required before retention	Tools/regression/verify-experiment-cooked-identities.ps1:38;Tools/regression/verify-experiment-cooked-identities.ps1:39
experiment.editorsurface	-	probe	commandlet	Retained product regression in an isolated process; scenario validation or fixture; closure evidence required before retention	Tools/regression/verify-model-typed-consumers.ps1:71;scripts/skinned_pose_visual.txt:79
experiment.foliage	-	probe	commandlet	Retained contract regression with explicit caller-owned fixture inputs: seed asset directory and model path	Tools/regression/verify-model-typed-consumers.ps1:62;Tools/regression/verify-model-typed-consumers.ps1:72;scripts/skinned_pose_visual.txt:53;scripts/skinned_pose_visual.txt:95
experiment.matcook	-	probe	commandlet	Retained product regression in an isolated process; scenario validation or fixture; closure evidence required before retention	Tools/regression/verify-experiment-document-cook-parity.ps1:57
experiment.matmigrate	-	selftest	commandlet	current product resolver/conversion/CLR contract; isolated process execution	no literal consumer found
experiment.matparity	-	selftest	remove	Closed I5-M1 parity harness for the retired legacy material packer	no literal consumer found
experiment.matresolve	-	selftest	commandlet	current product resolver/conversion/CLR contract; isolated process execution	no literal consumer found
experiment.matruntime	-	probe	commandlet	Material instance, proxy and texture-owner contract; seed requires explicit texture path	scripts/skinned_pose_visual.txt:58;scripts/skinned_pose_visual.txt:88;scripts/skinned_pose_visual.txt:91
experiment.matscript	-	selftest	commandlet	current product resolver/conversion/CLR contract; isolated process execution	no literal consumer found
experiment.scenecook	-	probe	commandlet	Retained product regression in an isolated process; scenario validation or fixture; closure evidence required before retention	Tools/regression/verify-experiment-document-cook-parity.ps1:53
experiment.skinbounds	-	probe	commandlet	Retained product regression in an isolated process; scenario validation or fixture; closure evidence required before retention	scripts/skin_pose_integrity.txt:20;scripts/skin_pose_integrity.txt:24;scripts/skin_pose_integrity.txt:28;scripts/skin_pose_visual.txt:39
foliage.authoring.probe	-	raw_fixture	commandlet	Retained product regression in an isolated process; scenario validation or fixture; closure evidence required before retention	Tools/regression/verify-asset-authoring-ownership.ps1:445;Tools/regression/verify-asset-authoring-ownership.ps1:478;Tools/regression/verify-asset-authoring-ownership.ps1:495
game.pak	-	engine_service	api	retained developer product query or engine service; no synthetic fixture execution	Tools/regression/verify-cli-drain.ps1:95;Tools/regression/verify-cli-drain.ps1:104;Tools/regression/verify-cli-drain.ps1:155
gc.collect	-	probe	api	developer diagnostics; old probe class does not imply harness	no literal consumer found
gc.stats	gc.delta	probe	api	developer diagnostics; old probe class does not imply harness	scripts/lifecycle_baseline.txt:174;scripts/scene_churn_benchmark.txt:55
gpu.baseline	-	probe	api	Developer GPU census baseline control; no synthetic fixture	no literal consumer found
gpu.census	gpu.delta	probe	api	developer diagnostics; old probe class does not imply harness	scripts/asan_lifecycle_stress.txt:134;scripts/lifecycle_baseline.txt:171;scripts/scene_churn_benchmark.txt:54
help	-	engine_service	api	retained developer product query or engine service; no synthetic fixture execution	Tools/dx12-validation/Invoke-Dx12Suite.ps1:88;Tools/regression/run-all.ps1:68;Tools/regression/run-all.ps1:70;Tools/regression/run-all.ps1:71;Tools/regression/run-all.ps1:72;Tools/regression/run-all.ps1:102;Tools/regression/verify-cli-consumer-contract.ps1:11;Tools/regression/verify-cli-consumer-contract.ps1:14;Tools/regression/verify-cli-discovery.ps1:15;Tools/regression/verify-cli-discovery.ps1:16;Tools/regression/verify-cli-discovery.ps1:20;Tools/regression/verify-cli-discovery.ps1:61;Tools/regression/verify-cli-discovery.ps1:63;Tools/regression/verify-cli-discovery.ps1:65;Tools/regression/verify-cli-discovery.ps1:66;Tools/regression/verify-cli-discovery.ps1:76;Tools/regression/verify-cli-discovery.ps1:77;Tools/regression/verify-cli-discovery.ps1:82;Tools/regression/verify-cli-discovery.ps1:84;Tools/regression/verify-cli-discovery.ps1:86;Tools/regression/verify-cli-discovery.ps1:87;Tools/regression/verify-cli-discovery.ps1:89;Tools/regression/verify-cli-discovery.ps1:92;Tools/regression/verify-cli-drain.ps1:165;Tools/regression/verify-cli-drain.ps1:173;Tools/regression/verify-cli-drain.ps1:215;Tools/regression/verify-cli-drain.ps1:243;Tools/regression/verify-cli-drain.ps1:265;Tools/regression/verify-cli-drain.ps1:324;Tools/regression/verify-cli-exit-spine.ps1:119;Tools/regression/verify-cli-exit-spine.ps1:122;Tools/regression/verify-cli-registry-golden.ps1:15;Tools/regression/verify-cli-registry-golden.ps1:18;Tools/regression/verify-cli-service.ps1:74;Tools/regression/verify-cli-service.ps1:135;Tools/regression/verify-cli-service.ps1:203;Tools/regression/verify-cli-service.ps1:208;Tools/regression/verify-cli-service.ps1:245;Tools/regression/verify-transform-targeted-pull.ps1:30
inputmap.authoring.probe	-	raw_fixture	commandlet	Retained product regression in an isolated process; scenario validation or fixture; closure evidence required before retention	Tools/regression/verify-asset-authoring-ownership.ps1:637;Tools/regression/verify-asset-authoring-ownership.ps1:652
inputmap.corpus.probe	-	probe	commandlet	Retained product regression in an isolated process; scenario validation or fixture; closure evidence required before retention	Tools/regression/verify-inputmap-yaml-corpus.ps1:53
lifecycle.dump	-	engine_service	api	retained developer product query or engine service; no synthetic fixture execution	Tools/regression/verify-lifecycle-baseline.ps1:88;Tools/regression/verify-lifecycle-baseline.ps1:114;scripts/lifecycle_baseline.txt:169;scripts/script_add_awake_once.txt:67
lifecycle.registry	-	engine_service	api	retained developer product query or engine service; no synthetic fixture execution	no literal consumer found
